image,mask,slide_id,split
healthy/healthy-01-roi1.tif,healthy/healthy-01-roi1.png,healthy-01,test
healthy/healthy-01-roi2.tif,healthy/healthy-01-roi2.png,healthy-01,test
healthy/healthy-01-roi3.tif,healthy/healthy-01-roi3.png,healthy-01,test
healthy/healthy-01-roi4.tif,healthy/healthy-01-roi4.png,healthy-01,test
healthy/healthy-01-roi5.tif,healthy/healthy-01-roi5.png,healthy-01,test
healthy/healthy-02-roi1.tif,healthy/healthy-02-roi1.png,healthy-02,test
healthy/healthy-02-roi2.tif,healthy/healthy-02-roi2.png,healthy-02,test
healthy/healthy-02-roi3.tif,healthy/healthy-02-roi3.png,healthy-02,test
healthy/healthy-02-roi4.tif,healthy/healthy-02-roi4.png,healthy-02,test
healthy/healthy-02-roi5.tif,healthy/healthy-02-roi5.png,healthy-02,test
healthy/healthy-03-roi1.tif,healthy/healthy-03-roi1.png,healthy-03,test
healthy/healthy-03-roi2.tif,healthy/healthy-03-roi2.png,healthy-03,test
healthy/healthy-03-roi3.tif,healthy/healthy-03-roi3.png,healthy-03,test
healthy/healthy-03-roi4.tif,healthy/healthy-03-roi4.png,healthy-03,test
healthy/healthy-04-roi1.tif,healthy/healthy-04-roi1.png,healthy-04,train
healthy/healthy-04-roi2.tif,healthy/healthy-04-roi2.png,healthy-04,train
healthy/healthy-04-roi3.tif,healthy/healthy-04-roi3.png,healthy-04,train
healthy/healthy-04-roi4.tif,healthy/healthy-04-roi4.png,healthy-04,train
healthy/healthy-04-roi5.tif,healthy/healthy-04-roi5.png,healthy-04,train
healthy/healthy-05-roi3.tif,healthy/healthy-05-roi3.png,healthy-05,train
healthy/healthy-06-roi1.tif,healthy/healthy-06-roi1.png,healthy-06,train
healthy/healthy-06-roi2.tif,healthy/healthy-06-roi2.png,healthy-06,train
healthy/healthy-07-roi1.tif,healthy/healthy-07-roi1.png,healthy-07,val
healthy/healthy-07-roi2.tif,healthy/healthy-07-roi2.png,healthy-07,val
healthy/healthy-08-roi1.tif,healthy/healthy-08-roi1.png,healthy-08,train
healthy/healthy-09-roi1.tif,healthy/healthy-09-roi1.png,healthy-09,test
healthy/healthy-10-roi1.tif,healthy/healthy-10-roi1.png,healthy-10,train
healthy/healthy-10-roi2.tif,healthy/healthy-10-roi2.png,healthy-10,train
healthy/healthy-10-roi3.tif,healthy/healthy-10-roi3.png,healthy-10,train
healthy/healthy-10-roi4.tif,healthy/healthy-10-roi4.png,healthy-10,train
healthy/healthy-11-roi1.tif,healthy/healthy-11-roi1.png,healthy-11,val
healthy/healthy-11-roi2.tif,healthy/healthy-11-roi2.png,healthy-11,val
healthy/healthy-11-roi3.tif,healthy/healthy-11-roi3.png,healthy-11,val
healthy/healthy-11-roi4.tif,healthy/healthy-11-roi4.png,healthy-11,val
healthy/healthy-12-roi1.tif,healthy/healthy-12-roi1.png,healthy-12,val
healthy/healthy-12-roi2.tif,healthy/healthy-12-roi2.png,healthy-12,val
healthy/healthy-13-roi1.tif,healthy/healthy-13-roi1.png,healthy-13,test
healthy/healthy-13-roi2.tif,healthy/healthy-13-roi2.png,healthy-13,test
healthy/healthy-13-roi3.tif,healthy/healthy-13-roi3.png,healthy-13,test
healthy/healthy-13-roi4.tif,healthy/healthy-13-roi4.png,healthy-13,test
healthy/healthy-14-roi2.tif,healthy/healthy-14-roi2.png,healthy-14,test
healthy/healthy-14-roi3.tif,healthy/healthy-14-roi3.png,healthy-14,test
healthy/healthy-15-roi1.tif,healthy/healthy-15-roi1.png,healthy-15,test
healthy/healthy-15-roi2.tif,healthy/healthy-15-roi2.png,healthy-15,test
healthy/healthy-16-roi1.tif,healthy/healthy-16-roi1.png,healthy-16,train
healthy/healthy-16-roi2.tif,healthy/healthy-16-roi2.png,healthy-16,train
healthy/healthy-16-roi3.tif,healthy/healthy-16-roi3.png,healthy-16,train
healthy/healthy-16-roi4.tif,healthy/healthy-16-roi4.png,healthy-16,train
healthy/healthy-16-roi5.tif,healthy/healthy-16-roi5.png,healthy-16,train
healthy/healthy-17-roi1.tif,healthy/healthy-17-roi1.png,healthy-17,train
healthy/healthy-17-roi2.tif,healthy/healthy-17-roi2.png,healthy-17,train
healthy/healthy-17-roi3.tif,healthy/healthy-17-roi3.png,healthy-17,train
healthy/healthy-17-roi4.tif,healthy/healthy-17-roi4.png,healthy-17,train
healthy/healthy-18-roi1.tif,healthy/healthy-18-roi1.png,healthy-18,train
healthy/healthy-18-roi2.tif,healthy/healthy-18-roi2.png,healthy-18,train
healthy/healthy-18-roi3.tif,healthy/healthy-18-roi3.png,healthy-18,train
healthy/healthy-18-roi4.tif,healthy/healthy-18-roi4.png,healthy-18,train
healthy/healthy-18-roi5.tif,healthy/healthy-18-roi5.png,healthy-18,train
healthy/healthy-19-roi1.tif,healthy/healthy-19-roi1.png,healthy-19,train
healthy/healthy-19-roi2.tif,healthy/healthy-19-roi2.png,healthy-19,train
healthy/healthy-19-roi3.tif,healthy/healthy-19-roi3.png,healthy-19,train
healthy/healthy-19-roi4.tif,healthy/healthy-19-roi4.png,healthy-19,train
healthy/healthy-19-roi5.tif,healthy/healthy-19-roi5.png,healthy-19,train
healthy/healthy-19-roi6.tif,healthy/healthy-19-roi6.png,healthy-19,train
healthy/healthy-20-roi1.tif,healthy/healthy-20-roi1.png,healthy-20,test
healthy/healthy-20-roi2.tif,healthy/healthy-20-roi2.png,healthy-20,test
healthy/healthy-20-roi3.tif,healthy/healthy-20-roi3.png,healthy-20,test
healthy/healthy-20-roi4.tif,healthy/healthy-20-roi4.png,healthy-20,test
healthy/healthy-21-roi1.tif,healthy/healthy-21-roi1.png,healthy-21,train
healthy/healthy-21-roi2.tif,healthy/healthy-21-roi2.png,healthy-21,train
healthy/healthy-21-roi3.tif,healthy/healthy-21-roi3.png,healthy-21,train
healthy/healthy-21-roi4.tif,healthy/healthy-21-roi4.png,healthy-21,train
healthy/healthy-21-roi5.tif,healthy/healthy-21-roi5.png,healthy-21,train
healthy/healthy-22-roi1.tif,healthy/healthy-22-roi1.png,healthy-22,train
healthy/healthy-22-roi2.tif,healthy/healthy-22-roi2.png,healthy-22,train
healthy/healthy-22-roi3.tif,healthy/healthy-22-roi3.png,healthy-22,train
healthy/healthy-23-roi1.tif,healthy/healthy-23-roi1.png,healthy-23,test
healthy/healthy-23-roi2.tif,healthy/healthy-23-roi2.png,healthy-23,test
healthy/healthy-23-roi3.tif,healthy/healthy-23-roi3.png,healthy-23,test
healthy/healthy-24-roi1.tif,healthy/healthy-24-roi1.png,healthy-24,train
healthy/healthy-24-roi2.tif,healthy/healthy-24-roi2.png,healthy-24,train
healthy/healthy-24-roi3.tif,healthy/healthy-24-roi3.png,healthy-24,train
healthy/healthy-24-roi4.tif,healthy/healthy-24-roi4.png,healthy-24,train
healthy/healthy-25-roi1.tif,healthy/healthy-25-roi1.png,healthy-25,train
healthy/healthy-25-roi2.tif,healthy/healthy-25-roi2.png,healthy-25,train
healthy/healthy-25-roi3.tif,healthy/healthy-25-roi3.png,healthy-25,train
healthy/healthy-25-roi4.tif,healthy/healthy-25-roi4.png,healthy-25,train
healthy/healthy-26-roi1.tif,healthy/healthy-26-roi1.png,healthy-26,train
healthy/healthy-26-roi2.tif,healthy/healthy-26-roi2.png,healthy-26,train
healthy/healthy-26-roi3.tif,healthy/healthy-26-roi3.png,healthy-26,train
healthy/healthy-27-roi1.tif,healthy/healthy-27-roi1.png,healthy-27,train
healthy/healthy-27-roi2.tif,healthy/healthy-27-roi2.png,healthy-27,train
healthy/healthy-28-roi1.tif,healthy/healthy-28-roi1.png,healthy-28,train
healthy/healthy-28-roi2.tif,healthy/healthy-28-roi2.png,healthy-28,train
healthy/healthy-29-roi1.tif,healthy/healthy-29-roi1.png,healthy-29,train
healthy/healthy-29-roi2.tif,healthy/healthy-29-roi2.png,healthy-29,train
healthy/healthy-29-roi3.tif,healthy/healthy-29-roi3.png,healthy-29,train
healthy/healthy-29-roi4.tif,healthy/healthy-29-roi4.png,healthy-29,train
healthy/healthy-29-roi5.tif,healthy/healthy-29-roi5.png,healthy-29,train
healthy/healthy-30-roi2.tif,healthy/healthy-30-roi2.png,healthy-30,train
healthy/healthy-30-roi3.tif,healthy/healthy-30-roi3.png,healthy-30,train
healthy/healthy-30-roi4.tif,healthy/healthy-30-roi4.png,healthy-30,train
healthy/healthy-30-roi5.tif,healthy/healthy-30-roi5.png,healthy-30,train
healthy/healthy-30-roi6.tif,healthy/healthy-30-roi6.png,healthy-30,train
healthy/healthy-31-roi1.tif,healthy/healthy-31-roi1.png,healthy-31,val
healthy/healthy-31-roi2.tif,healthy/healthy-31-roi2.png,healthy-31,val
healthy/healthy-31-roi3.tif,healthy/healthy-31-roi3.png,healthy-31,val
healthy/healthy-31-roi4.tif,healthy/healthy-31-roi4.png,healthy-31,val
healthy/healthy-31-roi5.tif,healthy/healthy-31-roi5.png,healthy-31,val
healthy/healthy-32-roi1.tif,healthy/healthy-32-roi1.png,healthy-32,train
healthy/healthy-32-roi2.tif,healthy/healthy-32-roi2.png,healthy-32,train
healthy/healthy-32-roi3.tif,healthy/healthy-32-roi3.png,healthy-32,train
healthy/healthy-32-roi4.tif,healthy/healthy-32-roi4.png,healthy-32,train
healthy/healthy-32-roi5.tif,healthy/healthy-32-roi5.png,healthy-32,train
severe/severe-01-roi1.tif,severe/severe-01-roi1.png,severe-01,train
severe/severe-01-roi2.tif,severe/severe-01-roi2.png,severe-01,train
severe/severe-01-roi3.tif,severe/severe-01-roi3.png,severe-01,train
severe/severe-01-roi4.tif,severe/severe-01-roi4.png,severe-01,train
severe/severe-01-roi5.tif,severe/severe-01-roi5.png,severe-01,train
severe/severe-02-roi1.tif,severe/severe-02-roi1.png,severe-02,test
severe/severe-02-roi2.tif,severe/severe-02-roi2.png,severe-02,test
severe/severe-02-roi3.tif,severe/severe-02-roi3.png,severe-02,test
severe/severe-02-roi4.tif,severe/severe-02-roi4.png,severe-02,test
severe/severe-02-roi5.tif,severe/severe-02-roi5.png,severe-02,test
severe/severe-02-roi6.tif,severe/severe-02-roi6.png,severe-02,test
severe/severe-03-roi1.tif,severe/severe-03-roi1.png,severe-03,val
severe/severe-03-roi2.tif,severe/severe-03-roi2.png,severe-03,val
severe/severe-03-roi3.tif,severe/severe-03-roi3.png,severe-03,val
severe/severe-03-roi4.tif,severe/severe-03-roi4.png,severe-03,val
severe/severe-03-roi5.tif,severe/severe-03-roi5.png,severe-03,val
severe/severe-04-roi1.tif,severe/severe-04-roi1.png,severe-04,test
severe/severe-04-roi2.tif,severe/severe-04-roi2.png,severe-04,test
severe/severe-04-roi3.tif,severe/severe-04-roi3.png,severe-04,test
severe/severe-04-roi4.tif,severe/severe-04-roi4.png,severe-04,test
severe/severe-04-roi5.tif,severe/severe-04-roi5.png,severe-04,test
severe/severe-05-roi1.tif,severe/severe-05-roi1.png,severe-05,test
severe/severe-05-roi2.tif,severe/severe-05-roi2.png,severe-05,test
severe/severe-05-roi3.tif,severe/severe-05-roi3.png,severe-05,test
severe/severe-05-roi4.tif,severe/severe-05-roi4.png,severe-05,test
severe/severe-05-roi5.tif,severe/severe-05-roi5.png,severe-05,test
severe/severe-06-roi1.tif,severe/severe-06-roi1.png,severe-06,train
severe/severe-06-roi2.tif,severe/severe-06-roi2.png,severe-06,train
severe/severe-06-roi3.tif,severe/severe-06-roi3.png,severe-06,train
severe/severe-06-roi4.tif,severe/severe-06-roi4.png,severe-06,train
severe/severe-07-roi1.tif,severe/severe-07-roi1.png,severe-07,val
severe/severe-07-roi2.tif,severe/severe-07-roi2.png,severe-07,val
severe/severe-07-roi3.tif,severe/severe-07-roi3.png,severe-07,val
severe/severe-07-roi4.tif,severe/severe-07-roi4.png,severe-07,val
severe/severe-07-roi5.tif,severe/severe-07-roi5.png,severe-07,val
severe/severe-08-roi1.tif,severe/severe-08-roi1.png,severe-08,train
severe/severe-08-roi2.tif,severe/severe-08-roi2.png,severe-08,train
severe/severe-08-roi3.tif,severe/severe-08-roi3.png,severe-08,train
severe/severe-08-roi4.tif,severe/severe-08-roi4.png,severe-08,train
severe/severe-08-roi5.tif,severe/severe-08-roi5.png,severe-08,train
severe/severe-09-roi1.tif,severe/severe-09-roi1.png,severe-09,train
severe/severe-09-roi2.tif,severe/severe-09-roi2.png,severe-09,train
severe/severe-09-roi3.tif,severe/severe-09-roi3.png,severe-09,train
severe/severe-09-roi4.tif,severe/severe-09-roi4.png,severe-09,train
severe/severe-09-roi5.tif,severe/severe-09-roi5.png,severe-09,train
severe/severe-10-roi1.tif,severe/severe-10-roi1.png,severe-10,test
severe/severe-10-roi2.tif,severe/severe-10-roi2.png,severe-10,test
severe/severe-10-roi3.tif,severe/severe-10-roi3.png,severe-10,test
severe/severe-10-roi4.tif,severe/severe-10-roi4.png,severe-10,test
severe/severe-10-roi5.tif,severe/severe-10-roi5.png,severe-10,test
severe/severe-11-roi1.tif,severe/severe-11-roi1.png,severe-11,train
severe/severe-11-roi2.tif,severe/severe-11-roi2.png,severe-11,train
severe/severe-11-roi3.tif,severe/severe-11-roi3.png,severe-11,train
severe/severe-11-roi4.tif,severe/severe-11-roi4.png,severe-11,train
severe/severe-11-roi5.tif,severe/severe-11-roi5.png,severe-11,train
severe/severe-12-roi1.tif,severe/severe-12-roi1.png,severe-12,test
severe/severe-12-roi2.tif,severe/severe-12-roi2.png,severe-12,test
severe/severe-12-roi3.tif,severe/severe-12-roi3.png,severe-12,test
severe/severe-12-roi4.tif,severe/severe-12-roi4.png,severe-12,test
severe/severe-12-roi5.tif,severe/severe-12-roi5.png,severe-12,test
severe/severe-13-roi1.tif,severe/severe-13-roi1.png,severe-13,train
severe/severe-13-roi2.tif,severe/severe-13-roi2.png,severe-13,train
severe/severe-13-roi3.tif,severe/severe-13-roi3.png,severe-13,train
severe/severe-13-roi4.tif,severe/severe-13-roi4.png,severe-13,train
severe/severe-13-roi5.tif,severe/severe-13-roi5.png,severe-13,train
severe/severe-14-roi1.tif,severe/severe-14-roi1.png,severe-14,test
severe/severe-14-roi2.tif,severe/severe-14-roi2.png,severe-14,test
severe/severe-14-roi3.tif,severe/severe-14-roi3.png,severe-14,test
severe/severe-14-roi4.tif,severe/severe-14-roi4.png,severe-14,test
severe/severe-14-roi5.tif,severe/severe-14-roi5.png,severe-14,test
severe/severe-15-roi1.tif,severe/severe-15-roi1.png,severe-15,val
severe/severe-15-roi2.tif,severe/severe-15-roi2.png,severe-15,val
severe/severe-15-roi3.tif,severe/severe-15-roi3.png,severe-15,val
severe/severe-15-roi4.tif,severe/severe-15-roi4.png,severe-15,val
severe/severe-15-roi5.tif,severe/severe-15-roi5.png,severe-15,val
severe/severe-15-roi6.tif,severe/severe-15-roi6.png,severe-15,val
severe/severe-15-roi7.tif,severe/severe-15-roi7.png,severe-15,val
severe/severe-15-roi8.tif,severe/severe-15-roi8.png,severe-15,val
severe/severe-16-roi1.tif,severe/severe-16-roi1.png,severe-16,test
severe/severe-16-roi2.tif,severe/severe-16-roi2.png,severe-16,test
severe/severe-16-roi3.tif,severe/severe-16-roi3.png,severe-16,test
severe/severe-16-roi4.tif,severe/severe-16-roi4.png,severe-16,test
severe/severe-16-roi5.tif,severe/severe-16-roi5.png,severe-16,test
severe/severe-16-roi6.tif,severe/severe-16-roi6.png,severe-16,test
severe/severe-17-roi1.tif,severe/severe-17-roi1.png,severe-17,train
severe/severe-17-roi2.tif,severe/severe-17-roi2.png,severe-17,train
severe/severe-17-roi5.tif,severe/severe-17-roi5.png,severe-17,train
severe/severe-17-roi7.tif,severe/severe-17-roi7.png,severe-17,train
severe/severe-18-roi3.tif,severe/severe-18-roi3.png,severe-18,train
severe/severe-18-roi4.tif,severe/severe-18-roi4.png,severe-18,train
severe/severe-19-roi1.tif,severe/severe-19-roi1.png,severe-19,train
severe/severe-19-roi2.tif,severe/severe-19-roi2.png,severe-19,train
severe/severe-19-roi3.tif,severe/severe-19-roi3.png,severe-19,train
severe/severe-19-roi5.tif,severe/severe-19-roi5.png,severe-19,train
severe/severe-20-roi1.tif,severe/severe-20-roi1.png,severe-20,test
severe/severe-20-roi2.tif,severe/severe-20-roi2.png,severe-20,test
severe/severe-20-roi5.tif,severe/severe-20-roi5.png,severe-20,test
severe/severe-21-roi1.tif,severe/severe-21-roi1.png,severe-21,train
severe/severe-21-roi2.tif,severe/severe-21-roi2.png,severe-21,train
severe/severe-22-roi1.tif,severe/severe-22-roi1.png,severe-22,val
severe/severe-22-roi2.tif,severe/severe-22-roi2.png,severe-22,val
severe/severe-22-roi3.tif,severe/severe-22-roi3.png,severe-22,val
severe/severe-22-roi4.tif,severe/severe-22-roi4.png,severe-22,val
severe/severe-22-roi5.tif,severe/severe-22-roi5.png,severe-22,val
severe/severe-23-roi1.tif,severe/severe-23-roi1.png,severe-23,train
severe/severe-23-roi2.tif,severe/severe-23-roi2.png,severe-23,train
severe/severe-23-roi5.tif,severe/severe-23-roi5.png,severe-23,train
severe/severe-24-roi1.tif,severe/severe-24-roi1.png,severe-24,train
severe/severe-25-roi5.tif,severe/severe-25-roi5.png,severe-25,train
severe/severe-26-roi1.tif,severe/severe-26-roi1.png,severe-26,train
severe/severe-26-roi3.tif,severe/severe-26-roi3.png,severe-26,train
severe/severe-27-roi1.tif,severe/severe-27-roi1.png,severe-27,test
severe/severe-27-roi2.tif,severe/severe-27-roi2.png,severe-27,test
severe/severe-28-roi5.tif,severe/severe-28-roi5.png,severe-28,train
